PO,Depth,Moist,PO_Rate,Harvest,Crop,Temp
4.698,15,44,0.039971429,1,0,22.79
8.958,15,38.33,0.261,1,0,23.98
45.669,15,67,0.483585714,1,0,23.29
5.337,15,62,0.143028571,1,0,18.6
13.764,15,48,0.382028571,1,0,31.74
26.669,15,38,4.018714286,1,0,32.77
94.75446701,15,31,0.2189,0,1,31.23
72.50224415,15,26,0.9831,0,1,34.32
128.6167018,15,27,3.521,0,1,41.01
173.55,15,88.91,4.718,0,0,32.65
56.74,15,75.54,4.974571429,0,0,31.24
37.68,15,63.46,1.252714286,0,0,33.3
38.87,15,76.01,0.955285714,0,0,31.66
4.698,15,44,0.039971429,1,0,22.79
12.358,30,60.3,2.365857143,1,0,24.44
83.886,30,47.33,3.863285714,1,0,25.98
45.669,15,67,0.483585714,1,0,23.29
90.299,30,47.3,1.925571429,1,0,22.89
5.337,15,62,0.143028571,1,0,18.6
13.816,30,44,0.289157143,1,0,24.29
13.764,15,48,0.382028571,1,0,31.74
29.621,30,58,2.340857143,1,0,25.55
26.669,15,38,4.018714286,1,0,32.77
19.518,30,26.5,6.444857143,1,0,30.5
109.116,30,39,0.6145,1,0,28.4
27.879,45,44,0.834728571,1,0,26.49
293.164,45,50,7.036714286,1,0,27.73
264.18,45,43,3.887285714,1,0,28.45
11.175,45,54,1.053557143,1,0,28.45
10.67,15,76.79,0.13055,1,0,27.79
53.2,15,76.55,0.295457143,1,0,24.56
15.46,15,53.11,0.206185714,1,0,24.86
38.35,15,85.78,0.269257143,1,0,34.9
7.091,15,76.79,0.094242857,1,0,27.79
12.77,15,76.79,0.332428571,1,0,27.79
24.04,15,91.7,0.486357143,1,0,26.86
13.31,15,76.79,0.334042857,1,0,27.79
23.57,15,76.79,0.416242857,1,0,27.79
31.11,15,76.79,0.667571429,1,0,27.79
13.76,15,68.62,0.141784286,1,0,30.61
9.26,15,66.26,0.076571429,1,0,29.14
20.57,15,78.29,0.392,1,0,29.37
25.97,15,78.29,0.410257143,1,0,29.37
14.15,15,78.29,1.842857143,1,0,29.37
72.48,15,100,0.927628571,1,0,28.36
57.38,15,78.29,0.667571429,1,0,29.37
45.07,15,78.29,1.291428571,1,0,29.37
22.2,15,78.29,0.187128571,1,0,29.37
37.04,15,78.29,2.262833333,1,0,29.37
94.75446701,15,31,0.2189,0,1,31.23
73.17945655,30,33,1.929,0,1,27.89
57.67634894,45,63,2.1617,0,1,29.89
72.50224415,15,26,0.9831,0,1,34.32
46.96442583,30,30,1.6117,0,1,32.26
20.44896664,45,38,0.8145,0,1,29.49
128.6167018,15,27,3.521,0,1,41.01
59.08581307,30,35,0.581,0,1,31.85
7.887540854,45,40,0.3504,0,1,33.29
23.29206204,15,33,0.7992,0,1,42.65
23.38265178,30,39,0.223,0,1,43.16
25.56025872,45,39,0.8036,0,1,36.27
96,15,88.72,1.579857143,0,0,22.73
52.5,15,43,0.656,0,1,39.1
45,15,43,0.079,0,1,39.1
18.5,15,43,0.675,0,1,39.1
45,15,43,0.625,0,1,39.1
17.5,15,43,0.215,0,1,39.1
9,15,43,0.8591,0,1,39.1
18,15,43,0.4021,0,1,39.1
5.5,15,43,0.177,0,1,39.1
157.6918765,15,93.83,2.896,0,2,25.44
88.98748436,15,77.59,3.59,0,2,25.66
39.05422102,15,55.61,0.522,0,2,24.71
15.04743658,15,87.15,0.584,0,2,24.28
30.17024211,15,77.59,0.905,0,2,25.66
37.26788721,15,77.59,1.946,0,2,25.66
110.7522824,15,77.59,6.17,0,2,25.66
67.74778889,15,73.77,2.562,0,2,28.2
88.04630676,15,55.61,1.889,0,2,24.71
18.09474876,15,77.59,1.405,0,2,25.66
68.8086851,15,86.646074,3.200675,0,0,10.95
37.69678867,15,58.43608512,1.787066667,0,0,15.77
21.03494318,15,36.84615385,1.2943,0,0,17.38
17.50287295,15,71.12499007,0.979075,0,0,17.34
16.96105703,15,51.42382854,1.247842857,0,0,28.33
81.73715651,15,11.85106383,4.5997,0,0,28
63.98015047,15,69.38439144,3.569183333,0,0,14.22
23.04017075,15,61.23152758,0.60738,0,0,13.93
22.92840707,15,52.19318182,0.9015,0,0,14.1
46.75815949,15,77.22070158,3.142366667,0,0,17.37
29.02889713,15,67.94230769,1.362875,0,0,22.4
47.32416357,15,91.94444444,0.3705,0,0,19.72
9.380758808,15,22.03125,0.0106675,0,1,51.66859384
7.1899729,15,22.03125,0.01905,0,1,51.66859384
101.7082729,15,21.03125,0.06706,0,1,53.66859384
46.13281754,15,21.03125,0.073323529,0,1,52.66859384
29.70811149,15,22.50943396,0.022165714,0,1,52.73924511
1.336901745,15,20.50943396,0.005273333,0,1,48.73924511
19.26218709,15,27.50943396,0.01681,0,1,49.73924511
4.170326453,15,23.50943396,0.009173913,0,1,48.73924511
14.71111111,15,61.60377358,0.00235283,0,1,16.19018836
15.7881,15,58.59239,0.0042882,0,1,16.105892
18.55828571,15,52.39622642,0.009828302,0,1,19.66735834
11.863673,15,62.65749,0.0049882,0,1,19.188848
9.79575,15,73.49019608,0.000852778,0,1,20.01078437
13.67788,15,78.99921,0.001342,0,1,20.221496
34.19454909,15,93.43636364,0.041104,0,1,22.91381813
28.95817,15,85.48361,0.0044922,0,1,23.439559
48.02843684,15,82.1875,0.06428125,0,1,25.49749994
51.39592,15,82.18883,0.0011842,0,1,24.987921
70.36,15,76.23404255,0.152333333,0,1,22.39510662
22.39794585,15,89.03703704,0.001592593,0,1,10.46055556
29,15,89.03703704,0.001592593,0,1,10.46055556
16.24163624,15,53.2,0.002933333,0,1,9.024833333
6,15,53.2,0.002933333,0,1,9.024833333
97.18101415,15,89.04761905,0.011504651,0,1,9.694761905
36.26506024,15,89.04761905,0.011504651,0,1,9.694761905
39.24242424,15,18.67307692,0.007679245,0,1,11.63692308
34.28571429,15,18.67307692,0.007679245,0,1,11.63692308
68.38232349,15,20,0.052125926,0,1,13.43907407
75.92100193,15,20,0.052125926,0,1,13.43907407
6.359721185,15,53.17777778,0.003822222,0,1,11.33511111
